TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE
buxdwh,reporting,cube_daily_user,trades_sb_indices_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),78,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_deposits_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),79,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_deposits_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),80,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_withdrawals_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),81,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_withdrawals_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),82,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_dividends_paid_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),83,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_dividends_paid_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),84,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_dividends_received_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),85,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_dividends_received_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),86,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_fees_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),87,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,financing_fees_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),88,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,incentives_rewards_received,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),89,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,incentives_rewards_redeemed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),90,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,view_position,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),91,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,view_position_costs,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),92,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,click_position_cost_details,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),93,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_RED_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),94,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_RED_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),95,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_BLUE_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),96,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_BLUE_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),97,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_GREEN_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),98,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_GREEN_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),99,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_PURPLE_count,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),100,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,store_purchases_PURPLE_amount,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),101,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_created,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),102,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_chat_messages_sent,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),103,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_user_left,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),104,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_user_got_removed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),105,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_user_removed_another_user,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),106,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_user_got_added,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),107,YES,(null),(null),(null),(null)
