,user_id,com,div,ff,total
79,8f99102a-3ddc-43a0-ab89-4f922aded0a5,,,,
80,69687e14-bdad-4e4b-a74c-9e19145d7d23,,,,
81,cfe91d41-da13-4895-a5ea-68d8f00cc70c,,,,
82,8dc35491-c824-4dd2-b8aa-745108012a45,,,,
83,1337a8a2-3130-4f8c-bfea-f50a728c03d1,,,,
84,2af55ce0-79ff-46ed-9024-582b261df77c,,,,
85,9e507ab7-c928-4e9a-9f16-a7bed0134c9d,,,,
86,82ead161-e3df-43e8-9ef6-34361c36e6e3,,,,
87,e7ce1050-ab23-47b7-b076-492f17cce6f3,,,,
88,44b6af15-0967-469d-98bd-4ca5c77dbf51,,,,
89,ff1e4785-5879-4914-a870-4ab53d9fd084,,,,
90,6c694953-61cf-44ac-9038-b3c2b3dab58c,,,,
91,34a99dfc-8901-47da-9865-ec08bb7bb634,,,,
92,6fb6dc46-d167-4d2d-b621-1611f0684dbd,,,,
93,7d607f80-c03b-4e77-b207-44a64e8a7cb9,,,,
94,b1333211-5f5d-4e9f-b962-155e109e7916,,,,
95,5725ecaa-8c7f-49f1-98cc-9cbb7ce4fc4b,,,,
96,892b332d-5992-41bb-9138-11256d2ff2c1,,,,
97,0b58d762-2213-488c-be94-1337806abc7f,,,,
98,71dcb3fc-7f8d-4255-935c-9cb725d320ec,,,,
99,fccd7500-4cb7-41db-bcb3-b1af82a98249,,,,
100,313a025b-887a-4809-b0e0-61bceef856b5,,,,
101,fbf9906f-1bd0-49d5-a799-b1bdce980555,,,,
102,6fd45408-caf0-44e4-92cf-59acedaec7cb,6.55,0.00,1.49,8.04
103,a42eabcd-3863-4259-81fa-41edf0e7c7f9,,,,
104,c8160d62-6427-43e1-981f-34187dbe554b,,,,
105,688ec693-9d78-41cd-86e3-4dbecf1a755e,,,,
106,4708bdbd-73b8-4880-9d64-3c5ae6b95a20,,,,
107,929ba95f-4002-4f9c-ad46-d1975b31a60b,,,,
108,70fea5fe-f315-4ba8-b4d4-d2d80a65ae98,,,,
109,1206584a-8ea7-4f95-aef9-ae0d0dc24260,,,,
110,0e0eca42-c0ee-4b86-b601-df56bc50f1b2,,,,
111,cf73d2e3-32cc-463d-9d0d-8f2e467fd7a9,,,,
112,a308dbf7-d377-4151-9550-1511a74c17ec,,,,
113,b997cd11-19bf-47d3-abcf-7ccb555079ea,,,,
114,4710bc8c-8ffd-4cdf-bbbc-dcf7765f43d4,,,,
115,86e87132-5859-48f4-8385-55b1eb11dbaa,,,,
116,30dbdd42-b04e-4c8d-993b-3a691a3e4311,,,,
117,addbb4d5-d0e1-41f5-aa35-24616d4c8378,,,,
118,f4ae06d6-25a4-491a-a864-72a78ea5c9e0,,,,
119,48bd81ca-dc0a-4c66-af9f-2b98137ebfcd,,,,
120,cdead7d9-bddc-4975-af3d-17dd792f7b65,,,,
121,532bc985-8334-41c7-a0d9-5100d21ee3a5,,,,
122,49090472-1be0-4462-b84c-26bf408abad4,,,,
123,ba7c884d-b240-49f2-b707-57de345b8064,,,,
124,68611249-c487-4ab8-bf86-8ac6dbd5458b,,,,
125,7ed85722-86cb-47ea-a12f-cc994b9fb0e5,,,,
126,4f662921-3359-4008-a62a-4a1c8bf9141e,,,,
127,efbfd289-6466-4b2a-8769-451c2f4c2550,,,,
128,c3089086-f976-4984-93bd-37cf3b221d88,,,,
129,8365b7f0-63cc-44b4-b675-b31703e8f405,,,,
130,87454a92-39e4-44ec-9a3c-eeec31cc5f73,,,,
131,dd51f536-9da0-46e1-b2b0-f8f5e3582f40,,,,
132,3c5d0c58-7c8d-4d27-8fda-af8638d22168,,,,
