,user_id,country_cd,gender,nationality,platform_type_name,trading_experience,title,network,bux_account_created_dts,account_type,ams_first_funded_dts,initial_deposit_amount,sum_deposits,cnt_deposits
7004,c96b5cb9-fc85-4aad-acf9-f0da48b0d1f4,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-01 15:27:13.478,FUN_BUX,,,,
7005,c9bc6b73-802b-4150-bbb5-facb9520d196,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-02 07:27:02.422,FUN_BUX,,,,
7006,c9bf5266-e0e1-4eef-bed6-f64efdd68dfc,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 18:05:51.624,FUN_BUX,,,,
7007,c9c6a677-a8cd-40e9-b730-69573d9d6c85,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-06 20:21:53.065,FUN_BUX,,,,
7008,c9d15e6d-0132-49d4-bb3c-1b6470091ecf,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-08 15:13:27.453,FUN_BUX,,,,
7009,c9d40ebf-8a4c-4bda-af39-0021c10b01bd,DE,,,iOS,NONE,Rookie Trader,Instagram Installs,2017-02-08 19:00:20.188,FUN_BUX,,,,
7010,ca235abd-2f65-48a4-b295-a7ce75b06e12,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-08 21:53:18.743,FUN_BUX,,,,
7011,ca33c13a-ed50-47ea-aee8-26b23bcdfba8,DE,MALE,DE,iOS,SOME,Experienced Trader,Appnext,2017-02-07 10:28:09.698,FUN_BUX,,,,
7012,ca63a082-3952-46df-9452-873f4df203e8,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-03 12:49:41.818,FUN_BUX,,,,
7013,ca6e8756-3093-4b3c-b8c2-cc0245cf957d,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-05 08:49:51.909,FUN_BUX,,,,
7014,ca73db05-f0a0-432e-a6c9-de610684d0c6,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-03 16:24:33.374,FUN_BUX,,,,
7015,ca7d6c7e-3048-48e2-ae72-77a851df7960,DE,,,iOS,SOME,Experienced Trader,Finanzen.net,2017-02-06 17:42:50.621,FUN_BUX,,,,
7016,cabe37dc-bb70-44ca-953a-01406dda7572,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-08 07:50:00.506,FUN_BUX,,,,
7017,cac77e93-2306-4962-bc50-260257a96260,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-07 19:01:23.362,FUN_BUX,,,,
7018,cacabf06-b184-4777-8eab-9966f1e2398a,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-02 22:46:29.982,FUN_BUX,,,,
7019,cafeff8e-ea91-4006-8d31-ec274cea6ae8,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-09 11:38:17.456,FUN_BUX,,,,
7020,cb2097d2-ce15-45ad-ac76-a359b64996a9,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-08 16:28:26.099,FUN_BUX,,,,
7021,cb79ee5a-a9cd-48a3-beac-18228076c696,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-03 07:45:01.616,FUN_BUX,,,,
7022,cbb417ad-492b-4b44-a8a9-a435b9efe5b3,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-03 11:12:28.489,FUN_BUX,,,,
7023,cc1101a7-4b1d-4d39-bd00-d9b26280f59d,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-04 15:10:13.413,FUN_BUX,,,,
7024,cc18093b-3a28-4f35-b328-6877664bb277,DE,MALE,TR,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-06 20:35:32.271,FUN_BUX,,,,
7025,cc25c57f-3b22-4959-8942-faaeaeb7448d,DE,,,iOS,SOME,Experienced Trader,TV,2017-02-02 17:21:12.078,FUN_BUX,,,,
7026,cc4cdcaf-8f20-4c2e-a5bd-dde97d8d8aea,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-01 21:08:28.236,FUN_BUX,,,,
7027,cc8c6070-e4bb-476d-9202-a2b3fd7a1f23,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-07 04:25:33.016,FUN_BUX,,,,
7028,cca5e717-3f91-47f0-80c4-76f0ff03db0e,DE,MALE,DE,iOS,NONE,Rookie Trader,Organic,2017-02-02 19:37:29.595,FUN_BUX,,,,
7029,ccbf9674-1083-432c-ae9b-07ee1e8466f2,DE,MALE,DE,iOS,SOME,Experienced Trader,TV,2017-02-10 17:43:51.743,SERIOUS_BUX,2017-03-22 18:44:29.000,50.0000000,50.0000000,1.0
7030,cceda128-163c-4983-bf3f-9a3368f0c3bc,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-07 18:09:27.424,FUN_BUX,,,,
7031,cd0e1e89-daa1-4e69-80ec-fe15295c99d9,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-09 19:42:26.990,FUN_BUX,,,,
7032,cd166ce1-7aa7-484b-a467-414c73a9fcea,DE,FEMALE,DE,iOS,NONE,Rookie Trader,Viral Invites,2017-02-06 14:31:23.374,FUN_BUX,,,,
7033,cd3b028f-3e75-4340-94a9-d66b5541bd3b,DE,MALE,DE,iOS,NONE,Rookie Trader,TV,2017-02-03 16:50:28.972,SERIOUS_BUX,2017-02-03 17:24:41.000,50.0000000,200.0000000,3.0
7034,cd4fa556-bb68-46d5-b177-4ae41d196d5a,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 17:42:40.283,FUN_BUX,,,,
